Ilan_id,SirketAdi,Sifre
65,SELNİKEL ENERJİ ISI HAVA TEKNİKLERİ A.Ş,1234
66,TEKNOTEL TELEKOMÜNİKASYON A.Ş,1234
67,ANM ANMAKSAN MAKİNA ENDÜSTRİ İMALAT SANAYİ VE TİCARET LTD.ŞTİ.,1234
68,Destan Sigorta Aracılık Hiz.Ltd.Şti,1234
69,ALTUNKAYA İNŞ.NAK.GIDA TİC A.Ş,1234
70,Sheraton Çesme Hotel Resort  ve  SPA,1234
71,FORM-TEK ,1234
72,Dorak Turizm ve Gayrimenkul Yatırımları Holding AŞ.,1234
73,Coca-Cola İçecek ATAKAN GIDA,1234
74,Nestlé Waters Türkiye,1234
75,Firma Bilgisi Gizli,1234
76,BEKA-MAK MAKİNA SANAYİ VE TİCARET AŞ,1234
77,ATLASJET HAVACILIKA.Ş,1234
78,Ekol PckgPrinting (Ekol Ofset),1234
79,Gökjet Havacılık Liseleri,1234
80,Anka Gross,1234
81,Saten Tekstil Elektronik İletişim San. ve Tic Ltd.,1234
82,BEYTTURK,1234
83,Timsan Tarım İnşaat Makina San. ve Tic. Ltd. Şti.,1234
84,İOC İNTERNATİONAL İÇ VE DIŞ TİCARET LTD.ŞTİ. - O2 Cafe  ve  SHİSHA,1234
85,Makplast Makina Plastik Sanayi ve Ticaret A.Ş.,1234
86,İstanbul Marmara Eğitim Sağlık Kurumları A.Ş.,1234
87,Sihir Medya Onurcan Taş,1234
88,İstanbul Teknik İnşaat Sanayi Ve Tic AŞ,1234
89,Glamira İnternet ve Kuyumculuk San. Tic. A.Ş.,1234
90,Sektöründe Lider Firma,1234
91,Tez Medikal Sağlık Turizm A.Ş,1234
92,İstanbul Memorial Sağlık Yatırımları A.Ş.,1234
93,Mimaki Eurasia Dijital Baskı Tek. Paz. ve Tic. Ltd,1234
94,YILDIRIM HOLDİNG A.Ş.,1234
95,ASSET GRUP,1234
96,Codeshake Yazılım Ltd. Şti.,1234
97,Oba Perdesan Perde Sanayi A.Ş,1234
98,Efor Optik Gözlük A.Ş.,1234
99,Bürotime Mobilya,1234
100,BİRELTEKSTİL,1234
101,Pulur Teknoloji A.Ş.,1234
102,Kaçar Tekstil ,1234
103,Bezmialem Vakıf Üniversitesi,1234
104,GI GROUP AND WYSER TURKEY SEÇME VE YERLEŞTİRME A.Ş.,1234
105,Basbug Group,1234
106,Tempo Çağrı Merkezi ve İş Süreçleri,1234
107,Birlik  Group Giyim San. Ve Tic. Ltd. Şti,1234
108,BAYKANLAR TEKSTİL SAN.VE TİC.AŞ.,1234
109,Alharran Turizm San. ve Tic. Ltd. Şti.,1234
110,EĞİN ETİKET SANAYİ VE TİCARET LTD.ŞTİ.,1234
111,Softtech Yazılım Teknolojileri Araştırma Geliştirme,1234
112,BİRFATURA YAZILIM TEKNOLOJİLERİ ANONİM ŞİRKETİ,1234
113,General Electric,1234
114,Sonkaya Makina A.ş,1234
115,Güney Çelik Hasır ve Demir Mamülleri San. Tic. A.Ş,1234
116,KVK Teknoloji Ürünleri ve Ticaret A.Ş.,1234
117,Türk Tuborg,1234
118,Döktaş Dökümcülük Tic. ve San. A.Ş.,1234
119,DEFNE KİMYEVİ MADDELER İTHALAT İHRACAT LİMİTED ŞİRKETİ,1234
120,DeFacto Perakende Ticaret Anonim Şirketi,1234
121,GRATİS İÇ VE DIŞ TİCARET A.Ş.,1234
122,HG Danışmanlık Tic. Ltd Şti,1234
123,Özel Tekstil,1234
124,Alshaya Saha,1234
125,OKAN Üniversitesi,1234
126,LSG Sky Chefs Havacilik Hizmetleri A.Ş.,1234
127, Pfizer Türkiye,1234
128,Alataş Elk.İnş.Met.Gıda Nak.San.Tic.Ltd.Şti.,1234
129,Erenler Mobilya,1234
130,Yapı Merkezi İnşaat ve Sanayi A.Ş.,1234
131,Zorlu Tekstil,1234
132,NBS İnsan Kaynakları ve Yönetim Danışmanlık A.Ş,1234
133,VSY Biyoteknoloji ve İlaç San. A.Ş,1234
134,Aydın Boru Endüstri A.Ş- AYDIN GROUP -SAYTEK METAL SAN.TİC.A.Ş.-AYDIN AVRASYA GLOBAL DEMİR ÇELİK-Giacomini Unival Unites Ltd. Şti,1234
135,FİTA TEKNİK HAVAL.ISI.SOĞ.VE KLİMA SİST.SAN.VE TİC.LTD.ŞTİ.,1234
136,Barem Ambalaj Sanayi ve Ticaret A.Ş.,1234
137,SİNERJİ SOĞUTMA VE OTOMASYON SİSTEMLERİ TİCARET LİMİTED ŞİRKETİ,1234
138,Aksoylar Turizm ve Tic. Ltd. Şti.,1234
139,Sektöründe Öncü Firma,1234
140,DEBAK DENİZLİ BAGALİT KALIP SAN. TİC. A.Ş.,1234
141,ekenler,1234
142,Ravago Turkey,1234
143,Fen Bilimleri Özel Öğretim Kursu,1234
144,DGS Baskı Teknolojileri A.Ş.,1234
145,ERMAKSAN MAKİNA SAN.VE TİC.A.Ş.,1234
146,Reel Alacak Yönetim A.Ş.,1234
147, Kronos Sigorta ve Reasürans Brokerlik A.Ş.,1234
148,Öztek Etiket San. Ve Tic. A.ş.,1234
149,VANGÖLÜ ELEKTRİK DAĞITIM A.Ş.,1234
150,Kariyer.Net,1234
151,Zengin asansör ,1234
152,KAY-YAP ANALİZ DENEY,1234
153,EAGLE BURGMANN ENDÜSTRİYEL SIZDIRMAZLIK SAN.VE TİC.LTD.ŞTİ.,1234
154,Online Teknoloji ve Danışmanlık A.Ş.,1234
155,MİNİSO MAĞAZACILIK ANONİM ŞİRKETİ,1234
156,Akça Enerji Üretim Otoprodüktör Grubu A.Ş.,1234
157,JANSSEN KOZMETİK TİCARET AŞ,1234
158,İstanbul Eğitim Fuarları Reklam ve Tanıtım Ltd. Şt,1234
159,Ceva Lojistik Ltd Şti,1234
160,LCWaikiki,1234
161,Savcan Tekstil Sanayi ve Ticaret A.Ş.,1234
162,Dorçe Prefabrik Yapı ve İnşaat Sanayi Ticaret A.Ş.,1234
163,Capitol Alışveriş Hiz. Tic. A.Ş.,1234
164,Sancak Enerji Hiz. A.Ş.,1234
165,Gen Elektromekanik San. ve Tic.Ltd.Şti.-Genemek,1234
166,RECART FİLM MÜZİK REKLAM PRODÜKSİYON BİLİŞİM TEKNOLOJİLERİ ORGANİZASYON LTD. ŞTİ.,1234
167,CITYLOFT OTELCILIK VE YATCILIK TURZ.TIC.LMT.STI,1234
168,Kalendos Dijital,1234
169,Tms Tren Bakım Onarım A.Ş,1234
170,DİNÇER LOJİSTİK A.Ş,1234
171,YENİKÖY KEMERKÖY ELEKTRİK ÜRETİM VE TİCARET A.Ş,1234
172,AYYILDIZ İŞ SAĞLIĞI VE İŞ GÜV.YÖN. VE TEKNİK DAN.,1234
173,Erbil A.Ş,1234
174,Şahintur Şahinler Otelcilik Tur.Yat.ve İşlet.A.Ş,1234
175,Howden Acp Sigorta ve Reasürans Brokerliği A.Ş.,1234
176,Torun Bakır Alaşımları Metal San. Ve Tic. A.Ş.,1234
177,VAKIF PAZARLAMA SANAYİ VE TİCARET A.Ş,1234
178,FİGÜR KUYUMCULUK SAN.VE TİC.LTD.ŞTİ.,1234
179,Merkez Man San. ve Tic. Ltd. Şti.,1234
180,Acıbadem Mehmet Ali Aydınlar Üniversitesi,1234
181,UNICO,1234
182,TOBB-ETÜ SAĞLIK EĞİTİMİ UYGULAMA VE ARAŞTIRMA MERKEZİ,1234
183,Würth Sanayi Ürünleri Ticaret Limited Şirketi,1234
184,ENDEL ENDÜSTRİ ELEKTRİK SANAYİ VE TİCARET A.Ş.,1234
185,ROTEM Kimyevi Maddeler Sanayi ve Ticaret A.Ş. ,1234
186,Türkiye Finans Katılım Bankası,1234
187,Abdi İbrahim İlaç,1234
188,MS DERMA ESTETİCA,1234
189,EORAL SAĞLIK HİZMETLERİ,1234
190,BAŞARSOFT BİLGİ TEKNOLOJİLERİ A.Ş.,1234
191,Pro Masaj,1234
192,CUMMINS TURKEY,1234
193,Om Kompozit Kimya  Sanayi ve Ticaret anonim şirke,1234
194,ANLAM OKULLARI,1234
195,AKA OTOMOTİV SANTİC AŞ,1234
196,Beyoğlu Nike-Lacoste-Swatch,1234
197,STAR FİLE KİDS,1234
198,DOKTOR TARSA ŞİRKETLER GRUBU,1234
199,Cepmar İletişim-Baby Kids,1234
200,DR. TARSA TARIM SANAYİ VE TİC. A.Ş.,1234
201,Sektörün Öncü Kuruluşu,1234
202,DOĞATUR SAĞ.TERMAL TURİZM İNŞ. SAN. VE TİC.LTD ŞTİ,1234
203,PepsiCo,1234
204,GPay Elektronik Ticaret A.Ş.,1234
205,TEKNO OFİS OTOMASYONU LTD. ŞTİ.,1234
206,A GRUP TELEKOM İLETİŞİM HİZM.SAN. VE DIŞ TİC.LTD.,1234
207,CEKET TEKSTİL,1234
208,Türkay Tarım Makinaları San. Tic. Ltd.,1234
209,CEMPA,1234
210,Naturelgaz Sanayi ve Ticaret A.Ş.,1234
211,Nanodems Yazılım Teknolojileri A.Ş.,1234
212,1001 STORESTUDIO,1234
213,TUSAŞ MOTOR SANAYİ A.Ş.,1234
214,Dent Mimarlık,1234
215,BOYTAŞ MOBİLYA SAN. VE TİC. A.Ş.,1234
216,Disera Tıbbi Malz.Loj.San.Tic.A.Ş,1234
217,İHLAS HOLDİNG A.Ş.,1234
218,Enkay Moda Konfeksiyon San ve Tic Ltd Ş(Tommartin),1234
219,ENKA Süt ve Gıda Mamülleri San. ve Tic. A.Ş.,1234
220,Hampton by Hilton İstanbul Kurtköy,1234
221,NATUREL KOZMETİK TİCARET AŞ,1234
222,Ess Eğitim Hizmetleri Ltd. Şti. -Beştepe Okulları,1234
223,Hayat Kimya San. A.Ş.,1234
224,SİGNUM DESTEK HİZMETLERİ VE TİCARET ANONİM ŞİRKETİ,1234
225,ÇEKOK GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,1234
226,Diversey Kimya Sanayi ve Ticaret A.Ş.,1234
227,Yapı Merkezi,1234
228,ATAOĞLU ORM.ÜRN.MOB.SAN.TİC.LTD.ŞTİ.,1234
229,Nikel Paslanmaz Çelik San. ve Tic. Ltd.Şti.,1234
230,Randstad Türkiye,1234
231,Ankara Ofis Yem Gıda ve Makine San. Tic. A.Ş.,1234
232,Edora Otomatik Kapı Sistemleri A.Ş.,1234
233,Polsan Düğme San ve Tic A.Ş.-Polsan Metal,1234
234,GALA SAHNE SİSTEMLERİ MÜH. MİM. İNŞ. LTD. ŞTİ.,1234
235,mavi yapı,1234
236,Anadolu Trafik Kontrol Sistemleri Taş. San. Tic.,1234
237,Özdilek ve  AVM,1234
238,Probe Mühendislik Proje Müşavirlik,1234
239,CİHAN ETİKET BASKI VE AMB SAN TİC LTD ŞTİ,1234
240,Elite World Hotel Europe,1234
241,Adore Oyuncak ve Eğitim Araçları San.Tic. A.ş.,1234
242,Şirinoğlu Faktoring A.Ş.,1234
243,DELTA KOZMETİK SAN. ve TİC.,1234
244,NESTLE TÜRKİYE GIDASANAYİ A.Ş.,1234
245,BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.,1234
246,Kent Kart Ege Elektronik San. ve Tic. A.Ş.,1234
247,Can Can Kokoreç,1234
248,ARCPLAST PLASTİK AMBALAJ SAN. VE DIŞ TİC. LTD. ŞTİ,1234
249,Perrigo Kişisel Bakım Ürünleri San. ve Tic. Ltd. Şti,1234
250,Termosa Makine Sanayi ve Ticaret A.Ş.,1234
251,Fitup Pilates,1234
252,Pirireis Bilişim Teknolojileri Limited Şirketi,1234
253, GoldMaster ,1234
254,ALALEA İNOVASYON DANIŞMANLIK TİCARET ANONİM ŞİRKETİ,1234
255,EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.,1234
256,Akademi Outsourcing,1234
257,The House Hotel ,1234
258,S CLINIC BEAUTY ve WELLNESS,1234
259,KPMG Türkiye,1234
260,Sonova Duyu Sistemleri Ltd. Şti ,1234
261,GÖZEN GÜVENLİK HİZMETLERİ A.Ş.,1234
262,Carex Bitkisel Ürünler ve Kozmetik San.Tic.Ltd.Şti,1234
263,INTERSPORT ATLETİK MAĞAZACILIK VE DIŞ TİCARET A.Ş.,1234
264,Termo Isı Sistemleri,1234
265,KOÇTAŞ YAPI MARKETLERİ TİC.A.Ş.,1234
266,Air Clinic Sağlık Hizmetleri San. Ve Tic. A.Ş.,1234
267,Aya Validasyon Ambalaj Sterilizasyon A.Ş.,1234
268,Güven Kaplan,1234
269,TS Otomasyon Bilişim Elektrik San ve Tic.Ltd. Şti.,1234
270,Akpa Kimya Ambalaj San. ve Tic. A.Ş.,1234
271,MEBANT İZOLASYON VE BANT SANAYİ A.Ş,1234
272,Fuzul Gayrimenkul. Yat. A.ş,1234
273,Yaz Bilgi Sistemleri ve Tic.A.Ş.,1234
274,ÇUHADAROĞLU METAL SAN. VE PAZ. A.Ş.,1234
275,Sekuro Plastik Ambalaj A.Ş.,1234
276,Özerden Plastik,1234
277,Linera Ar-Ge Ltd.Şti.,1234
278,Seymag Et Makinaları,1234
279,ALTERMEKA MÜHENDİSLİK VE TİCARET LTD.ŞTİ.,1234
280,Şenkaya Çelik Döküm Sanayi ve Ticaret A.Ş.,1234
281,CLUB JOLLY TURİZM VE TİCARET A.Ş.,1234
282,eAssistentin UG,1234
283, ÖZEL EDREMİT KÖRFEZ HASTANESİ,1234
284,TURKLANDBANK,1234
285,HOTİÇ AYAKKABI SAN.TİC.AŞ,1234
286,Teknik Seramik Sanayii ve Ticaret A.Ş.(Tekser),1234
287,Mynet,1234
288,Medistate Kavacık Hastanesi,1234
289,Sibaş Gıda San. ve Tic. A.Ş.,1234
290,İPEK GOURMET HAYVANCILIK GIDA,1234
291,Sigma Telecom,1234
292,MUTLU AVUKATLIK ORTAKLIĞI,1234
293,ADECCO İSTİHDAM HİZMETLERİ LTD.ŞTİ.,1234
294,KADİR HAS ÜNİVERSİTESİ,1234
295,AYDIN KURUYEMİŞ SANAYİ VE TİCARET A.Ş.,1234
296,İLKEVRE ÖZEL EĞİTİMHİZM.VE YAY.SAN.TİC.LTD.ŞTİ.,1234
297,Triada Residence Hotel,1234
298,SULTAN KUZU KOKOREÇ,1234
299,Çağdaş Holding,1234
300,Zübeyde Hanım Eğitim Kurumları,1234
301,Pandora Plastik San Tic Aş,1234
302,Million Hair Aesthetic Center,1234
303,Doğuş Grubu,1234
304,Anadolu Kimya San. ve Tic. Ltd. Şti.,1234
305,Toyota Motor Europe Adapazarı Branch,1234
306,Lider Kozmetik San Tic A.Ş ,1234
307,MELPA TİCARET,1234
308,Happy İnsan Kaynakları,1234
309,Astera İnsan Kaynakları Yönetim ve Danışmanlık,1234
310,DECE YAZILIM A.Ş.,1234
311,DAİİCHİ ELEKTRONİK SAN.VE TİC.A.Ş.,1234
312,TP Petrol Dağıtım A.Ş.,1234
313,Dost İnşaat ve Proje Yönetimi A.Ş.,1234
314,Hugo Boss Tekstil Sanayi Ltd. Şti.,1234
315,Eti Şirketler Grubu,1234
316,Obdan Sistem Gümrük Müşavirliği Ltd. Şti.,1234
317,OCAK KARDEŞLER MUTFAK EŞYALARI-ZÜCCACİYE-ÇEYİZ VE ,1234
318,ENKA BELGELENDİRME VE GÖZETİM HİZMETLERİ LTD. ŞTİ.,1234
319,GÖN KLİMA TESİSAT İNŞ.SAN. VE TİC.A.Ş.,1234
320,TRANSVARO ELEKTRON ALETLERİ SAN. VE TİC. A.Ş.,1234
321,İnova Assist,1234
322,Colin's,1234
323,Staubli San. Makina ve Aksesuarları Ltd. Şti.,1234
324,KARAELMAS İŞ SAĞLIĞI VE İŞ GÜV.MERK.İNŞ.ÖZEL SAĞ.EĞT.HİZ.SAN,1234
325,YILDIZ MİMARLIK,1234
326,Mil-May Tekstil San. ve Dış Tic. A.Ş.,1234
327,IKEA Türkiye MAPA Mobilya A.Ş.,1234
328,Michael Page,1234
329,TW Bilgi ve İletişim Hizm. A.Ş.,1234
330,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,1234
331,CUPSCOM GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,1234
332,dragos denizcilik,1234
333,CTT DENİZCİLİK ANONİM ŞİRKETİ,1234
334,ETİLER KOLEJİ  A.Ş ( ETİLER KOLEJİ ANAOKULU ),1234
335,Mantis Yazılım ve Danışmanlık Ltd. Şti.,1234
336,ABDULRAHİM ÖZTÜRK ÖZTEKNİK SERVİS,1234
337,EYE CONNECTION,1234
338,DETAY YAPI MÜH. MİM. SAN. TİC. AŞ.,1234
339,Türkiye Şişe ve Cam Fabrikaları A.Ş.,1234
340,TANTUR TURİZM SEYAHAT A.Ş. - TUI TÜRKİYE,1234
341,Mozart Hotel,1234
342,LOYA MAĞAZACILIK TEKSTİL SAN. TİC. A.Ş.,1234
343,İstanbul Okan Üniversitesi,1234
344,A ve A Tekstil San. ve Paz. Ltd. Şti.,1234
345,WAVİN TR PLASTİK SAN. A.Ş,1234
346,BIODERMA Türkiye,1234
347,Ekol Lojistik,1234
348,İÇLİ YAPI MALZEMELERİ İNŞ. NAK. KATI YAK. SAN. TİC. LTD. ŞTİ.,1234
349,OKSİJEN İNSAN KAYNAKLARI SEÇME DEĞERLEND HİZMET TİC.A.Ş.,1234
350,asilkar lojistik,1234
351,GIDA PARK GIDA,1234
352,GANO EXCEL MARKETING PRIVATE ITH VE PAZ LTD STI,1234
353,EDENRED TÜRKİYE,1234
354,HAYAL SERAMİK YAPI VE ÜRÜNLERİ TURİZM SAN.TİC.A.Ş.,1234
355,Desmus Mimarlık Tic. A.Ş.,1234
356,Anadolu Deniz İnşaat Kızakları San. ve Tic. A.Ş.,1234
357,Kırpart Otomotiv Parçaları San. ve Tic. A.Ş.,1234
358,EB REBOSIO LTD STI,1234
359,Enerjim Muhendislik,1234
360,Atm Yol İnşaat Taah. San. Tic. Ltd. Şti.,1234
361,Golf Med Yapı Turizm San. ve Tic. Ltd. Şti,1234
362,Birtay Tekstil,1234
363,DAGİ GİYİM SANAYİ VETİCARET A.Ş.,1234
364,Istanbul Marriott Hotel Asia,1234
365,Batmaz Tekstil San. ve Tic. Ltd. Şti.,1234
366,DTM Elektroteknik A.S,1234
367,Martur Automotive Seating Systems,1234
368,GLOHE DOĞAL ÜRÜNLER KOZMETİK PAZARLAMA A.Ş,1234
369,Göktepe Tekstil Ürünleri San. Ve Tic. A.Ş.,1234
370,ENFORMAK PLASTİK TEKNOLOJİLERİ SANAYİ TİCARET AŞ,1234
371,TOPÇESAN TOPBAŞ ÇELİK SANAYİ A.Ş.,1234
372,D’s Damat,1234
373,BOROVALI OTOMOTİV SAN.VE TİC.A.Ş,1234
374,Kapital Medya Hizmetleri A.Ş.,1234
375,Arçelik,1234
376,TEMSA İŞ MAKİNALARI İMALAT PAZARLAMA VE SATIŞ A.Ş.,1234
377,SERDA KARAOĞLU NEFES SİGORTA,1234
378,Hanımelievyemekleri,1234
379,DOĞRU BEBE GİYİM TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,1234
380,ÇETİN AKADEMİ İŞ SAĞ. VE GÜV. İNS. KAY. EĞT. DAN. ELK. HİZ. SAN. TİC. A.Ş,1234
381,Erkan İç Ve Dış Ticaret Kimya Sanayi AŞ,1234
382,Kıraç Elektrik San. ve Tic. Ltd. Şti.,1234
383,Zurich Sigorta A.Ş,1234
384,Nehir Ajans Organizasyon ve İnsan Kaynakları ,1234
385,Harmoni Gayrimenkul Değerleme Danışmanlık A.Ş.,1234
386,Marka Park,1234
387,M.Can Bilya Tic. ve San. Ltd. Şti.,1234
388,Vital Fors Sağlık Hiz. Bilgisayar ve Elek. Tic.,1234
389,ANADOLU KESİCİ TAKIMLAR VE SİSTEMLER,1234
390,Önal Hukuk - Kadir Önal,1234
391,OREGO AMBALAJ SAN.TİC.A.Ş,1234
392,ERESİN HOTELS,1234
393,Arge Gayrimenkul Değerleme ve Danışmanlık A.Ş.,1234
394,Gülaylar Altın,1234
395,TOYPA MAĞAZACILIK TİC. A.Ş,1234
396,Simteks Tekstil San ve Dış Tic Ltd Şti,1234
397,Polat Enerji Sanayi ve Ticaret A.Ş,1234
398,SMC Turkey Otomasyon A.Ş.,1234
399,KAPLANLAR SOĞUTMA SANAYİ VE TİCARET A.Ş.,1234
400,Bernardo,1234
401,NPİSTANBUL Beyin Hastanesi,1234
402,ETS ERSOY TURİSTİK SERVİSLERİ ANONİM ŞİRKETİ,1234
403,KIRKINCIOĞLU GRUP,1234
404,MKSDEVO KİMYA SAN. TİC. A.Ş.,1234
405,Comdata Teknoloji ve Müşteri Hizmetleri A.Ş.,1234
406,BTL Türkiye,1234
407,GÖKDERE HAMAM SPA,1234
408,WYSER Search  ve  Selection A.Ş,1234
409,LİMİTSİZ EĞİTİM KURUMLARI ,1234
410,Uzman oto ekspertiz,1234
411,İntron Bilişim Yazılım Tan. Tas. Hiz. San Tic Ltd,1234
412,Merter Park Otelcilik A.Ş-Ramada Suites Otel,1234
413,Smart Eco Design - SED Çevre Danışmanlığı Müh.Mim.İnş.Enerji San.ve Tic. A.Ş.,1234
414,MERTER PARK OTELCİLİK A.Ş.-Ramada Hotel Merter,1234
415,Team Guerilla Marketing,1234
416,Naz Örme Kumaş Ve Tekstil Sanayi Aş,1234
417,Paşabahçe Mağazaları A.Ş.,1234
418,SÜLEYMANİYE Cafe ve Restaurant,1234
419,Lahza Cafe Restaurant,1234
420,HUMAN KAPİTAL İNSAN KAYNAKLARI VE DAN.HİZ.LTD.ŞTİ,1234
421,Acıbadem Sağlık Hizmetleri Tic. A.Ş.,1234
422,NANOTAM Araştırma Merkezi Bilkent Üniversitesi,1234
423,Andevos Bilgi Teknolojileri Ltd. Şti,1234
424,Siemens San. ve Tic. A.Ş.,1234
425,YAKAMOZ YAĞ SANAYİ VE TİCARET ANONİM ŞİRKETİ,1234
426,QUATRO DYNAMICS ORGANİZASYON VE TİCARET LİMİTED ŞİRKETİ,1234
427,Neon Logistics,1234
428,SER-GÜN-ÖZEL SERGÜN GÜNISI İNŞ.MALZ.AYT AYDINLATMA ELEKTRİK ELEKTRONİK,1234
429,AS-KAN MÜHENDİSLİK PAZARLAMA İTH. İHR. TİC. LTD.,1234
430,Bayer Türk Kimya Sanayii Ltd Şti,1234
431,Kale Kalıp A.Ş.,1234
432,İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,1234
433,İncekaralar Tıbbi Cihazlar Ticaret A.Ş.,1234
434,Coşkunöz Holding,1234
435,AY MARKA MAĞAZACILIK,1234
436,AssisTT AŞ.,1234
437,Anel Grup,1234
438,AKIN ÇORAP,1234
439,ÇELİKEL ALÜMİNYUM DÖKÜM İMALAT SAN.VE TİC.A.Ş.,1234
440,Civil Mağazacılık A.Ş.,1234
441,Sanofi,1234
442,Danone Su,1234
443,Gözalan Group,1234
444,ATILGAN OTOMOTİV SANAYİ SERVİS HİZMETLERİ İÇ VE DIŞ TİCARET A.Ş,1234
445,Set Kurumsal Hizmetler Tic. A.Ş,1234
446,YILPORT Holding,1234
447,SENSORMATİC GÜVENLİK HİZMETLERİ TİC A.Ş.,1234
448,Ersur Tekstil,1234
449,Avansas Ofis Malzemeleri Tic. A.Ş,1234
450,PİRELLİ OTOMOBİL LASTİKLERİ A.Ş.,1234
451,Karbel Konfeksiyon- Kartopu Tekstil Mam.Paz.Tic.Sa,1234
452,ATASAY KUYUMCULUK SAN.VE TİC.A.Ş.,1234
453,Volo Kompozit ve Mühendislik ltd. şti.,1234
454,Havacılık Teknik A.Ş.,1234
455,BARİDA MAKİNA SANAYİTİCARET LTD.ŞTİ.,1234
456,Alpin Çelik ve Mutfak Gereçleri Sanayi ve Tic.,1234
457,DOLFİN ELEKTRİK SAN.TİC.LTD.ŞTİ.,1234
458,SOLAR PATLAYICI MADDELER SANAYİ A.Ş.,1234
459,AVİVASA EMEKLİLİK VE HAYAT A.Ş.,1234
460,KURŞUN AMBALAJ KUYM. SAN. TİC. LTD. ŞTİ.,1234
